lang	title	subtitle	link	donate	languages	br0	br1	br2	br3	br4	br5	br6	br7	discord	sgf_title_prefix	 sgf_youtube_link	sgf_file_link	sgf_file_link_katago	home_page	google_drive_01	google_drive_02	google_drive_03	google_drive_04	json_01	json_02	json_03	json_04	json_05	json_06	json_07	json_08	json_09	json_10	json_11	json_12	json_13	json_14	json_15	json_16	json_17	json_18	json_19	json_20
fr	Commentaire de partie de jeu de go	Site internet de la chaîne Youtube	Téléchargement des fichiers SGF	Me soutenir financièrement si vous pouvez	Langues disponibles : 	Bonjour et bienvenue !	Si tu es ici, c’est que tu viens de la chaîne YouTube. Merci !	Un espace Discord est à ta disposition. Tu peux venir y discuter, poser des questions, poster une de tes parties, etc.	Tu verras que ce serveur Discord comporte aussi des salons dédiés à d’autres langues, car mes vidéos sont doublées et sous-titrées dans de nombreuses langues et je souhaite offrir à tout le monde un espace d’échange. 	J’espère que nous pourrons échanger prochainement ensemble.	Rejoins le serveur Discord	Et bien sûr, si le contenu te plaît, abonne-toi et partage autour de toi.	Merci de ta présence, et bonne partie !	https://discord.gg/RdWjyftz	Partie commentée dans la vidéo 	Lien Youtube	Télécharger le fichier .sgf	Télécharger le fichier .sgf avec l'analyse katago	Page d'accueil de 19x19	Ci-dessous, la vidéo avec l'audio dans votre langue, et également les sous-titres dans votre langue. Cette vidéo est hébergée sur Google Drive, car Youtube n'autorise pas encore la chaîne youtube à ajouter des doublages audio. 	Lien vers le dossier Google Drive contenant toutes les vidéos avec doublage	Vous regardez la vidéo sur Google Drive ? Pensez quand même à laisser un pouce bleu sur YouTube !	Ci-dessous, la vidéo Youtube (sans le doublage audio dans votre langue, mais avec les sous-titres dans votre langue). J'espère que Youtube autorisera rapidement l'ajout de mes propres doublages audio.	Partie de go commentée	Niveau 1d FOX	Niveau 2d FOX	Niveau 3d FOX	Niveau 4d FOX	Niveau 5d FOX	Testez vos propres variations : 	Téléchargement du fichier avec l'analyse de Katago : 	Discussions spécifiques (sur Discord) sur cette partie : 	Informations sur la chaîne : 	Le salon Discord : 	2d FOX	3d FOX							
en	Commentary on Go game	Website of the Youtube channel	Download SGF files	Support me financially if you can	Available languages for audio dubbing and subtitles:	Message to Go players who speak english	All my videos are dubbed and subtitled in english, as well as in many other languages.	Since I’ve been playing Go, I’ve often lacked content in French, my native language. That’s what motivated me to make my videos available in as many languages as possible.	Preparing dubbing and subtitles in multiple languages is a significant amount of work for each video. Tell me where you’re watching from—it makes me happy to know that my work is useful on the other side of the world.	I’ve also created a Discord channel for each language: come say hello and meet other players who speak english.	Join the english channel on Discord	And of course, if you enjoy the content, subscribe and share it around.	Thank you for being here, and enjoy your game!	https://discord.gg/RdWjyftz	Commented game in the video 	YouTube link	Download the .sgf file	Download the .sgf file with katago analysis	Homepage of 19x19.win	Below is the video with audio in your language, as well as subtitles in your language. This video is hosted on Google Drive because YouTube does not yet allow the channel to add dubbed audio tracks.	Link to the Google Drive folder containing all the videos with dubbing	Watching the video on Google Drive? Don't forget to leave a thumbs up on YouTube!	Below is the YouTube video (without the audio dubbing in your language, but with subtitles in your language). I hope YouTube will soon allow me to add my own audio dubs.	Go game with commentary	1d on FOX	2d on FOX	3d on FOX	4d on FOX	5d on FOX	Test your own variations:	File download with KataGo analysis:	Specific discussions (on Discord) about this game:	Channel information:	The Discord channel:	2d FOX	3d FOX							
ru	Комментарий к партии в го	Веб‑сайт YouTube‑канала	Загрузка файлов SGF	Поддержите меня финансово, если можете	Доступные языки для дубляжа и субтитров:	Сообщение игрокам в Го, которые говорят по-русски	Все мои видео дублируются и снабжаются субтитрами на русском, а также на многих других языках.	С тех пор как я играю в Го, мне часто не хватало контента на французском, моём родном языке. Это и подтолкнуло меня сделать мои видео доступными на как можно большем числе языков.	Подготовка дубляжа и субтитров на нескольких языках — это большая работа для каждого видео. Напиши, откуда ты смотришь: мне будет приятно узнать, что моя работа полезна на другом конце света.	Для каждого языка у меня есть канал в Discord: заходи поздороваться и встретить других игроков, говорящих по-русски.	Присоединяйся к русскому каналу в Discord	И конечно, если тебе нравится контент, подписывайся и делись им с другими.	Спасибо, что ты здесь, и приятной партии!	https://discord.gg/RdWjyftz	Прокомментированная партия в видео 	Ссылка на YouTube	Ссылка на sgf	Скачать файл .sgf с анализом katago	Главная страница 19x19.win	Ниже — видео со звуком на вашем языке, а также с субтитрами на вашем языке. Это видео размещено на Google Drive, потому что YouTube пока не позволяет каналу добавлять дорожки дубляжа.	Ссылка на папку Google Диска со всеми озвученными видео	Смотрите видео на Google Диске? Всё равно не забудьте поставить лайк на YouTube!	Ниже — видео на YouTube (без дубляжа на вашем языке, но с субтитрами на вашем языке). Надеюсь, YouTube скоро позволит добавлять мои собственные дорожки дубляжа.	Комментированная партия го	1 дан на FOX	2 дан на FOX	3 дан на FOX	4 дан на FOX	5 дан на FOX	Проверьте свои варианты:	Скачивание файла с анализом KataGo:	Специальные обсуждения (в Discord) об этой партии:	Информация о канале:	Канал в Discord:	2d FOX	3d FOX							
de	Kommentar zu einer Go-Partie	Website des YouTube-Kanals	Herunterladen von SGF-Dateien	Unterstützen Sie mich finanziell, wenn Sie können	Verfügbare Sprachen für Synchronisation und Untertitel:	Nachricht an Go-Spielerinnen und -Spieler, die Deutsch sprechen	Alle meine Videos sind auf Deutsch synchronisiert und untertitelt – und außerdem in vielen weiteren Sprachen.	Seit ich Go spiele, habe ich oft Inhalte auf Französisch, meiner Muttersprache, vermisst. Das hat mich dazu gebracht, meine Videos in möglichst vielen Sprachen zugänglich zu machen.	Die Vorbereitung von Tonspur und Untertiteln in mehreren Sprachen bedeutet für jedes Video eine Menge Arbeit. Sag mir, von wo du zuschaust – ich freue mich zu wissen, dass meine Arbeit auch am anderen Ende der Welt nützlich ist.	Ich habe außerdem für jede Sprache einen Discord-Channel eingerichtet: Komm vorbei, sag hallo und triff andere Spielerinnen und Spieler, die Deutsch sprechen.	Tritt dem deutschen Kanal auf Discord bei	Und natürlich: Wenn dir die Inhalte gefallen, abonniere und teile sie weiter.	Danke, dass du da bist, und viel Spaß beim Spiel!	https://discord.gg/RdWjyftz	Kommentierte Partie im Video 	YouTube-Link	sgf-Link	Die .sgf-Datei mit katago-Analyse herunterladen	Startseite von 19x19.win	Unten finden Sie das Video mit Audio in Ihrer Sprache sowie Untertitel in Ihrer Sprache. Dieses Video wird auf Google Drive gehostet, da YouTube dem Kanal derzeit noch nicht erlaubt, synchronisierte Audiospuren hinzuzufügen.	Link zum Google-Drive-Ordner mit allen synchronisierten Videos	Sehen Sie sich das Video auf Google Drive an? Denken Sie trotzdem daran, auf YouTube einen Daumen hoch dalassen!	Unten finden Sie das YouTube-Video (ohne die Synchronfassung in Ihrer Sprache, aber mit Untertiteln in Ihrer Sprache). Ich hoffe, dass YouTube bald das Hinzufügen meiner eigenen Synchronfassungen erlaubt.	Kommentierte Go-Partie	1d auf FOX	2d auf FOX	3d auf FOX	4d auf FOX	5d auf FOX	Testen Sie Ihre eigenen Varianten:	Datei-Download mit KataGo-Analyse:	Spezifische Diskussionen (auf Discord) über diese Partie:	Informationen zum Kanal:	Der Discord-Kanal:	2d FOX	3d FOX							
pl	Komentarz do partii go	Strona internetowa kanału YouTube	Pobieranie plików SGF	Wesprzyjcie mnie finansowo, jeśli możecie	Dostępne języki dubbingu i napisów:	Wiadomość do graczy Go mówiących po polsku	Wszystkie moje filmy są dubbingowane i mają napisy po polsku, a także w wielu innych językach.	Odkąd gram w Go, często brakowało mi treści po francusku, moim ojczystym języku. To skłoniło mnie, by udostępniać moje filmy w jak największej liczbie języków.	Przygotowanie dubbingu i napisów w kilku językach to sporo pracy przy każdym filmie. Napisz, skąd oglądasz – będzie mi miło wiedzieć, że moja praca jest przydatna po drugiej stronie świata.	Na Discordzie mam kanał dla każdego języka: wpadnij się przywitać i poznaj innych graczy mówiących po polsku.	Dołącz do polskiego kanału na Discordzie	I oczywiście, jeśli podobają Ci się te treści, zasubskrybuj i podziel się nimi.	Dziękuję za obecność i udanych partii!	https://discord.gg/RdWjyftz	Partia z komentarzem w filmie 	Link do YouTube	Link do sgf	Pobierz plik .sgf z analizą katago	Strona główna 19x19.win	Poniżej znajduje się wideo z dźwiękiem w Państwa języku, a także napisy w Państwa języku. To wideo jest hostowane w usłudze Google Drive, ponieważ YouTube jeszcze nie pozwala kanałowi dodawać zdubbingowanych ścieżek audio.	Link do folderu na Dysku Google zawierającego wszystkie filmy z dubbingiem	Oglądasz film na Dysku Google? Mimo wszystko nie zapomnij zostawić łapki w górę na YouTube!	Poniżej znajduje się wideo na YouTube (bez dubbingu audio w Państwa języku, ale z napisami w Państwa języku). Mam nadzieję, że YouTube wkrótce pozwoli dodawać moje własne ścieżki dubbingu audio.	Komentowana partia go	1d na FOX	2d na FOX	3d na FOX	4d na FOX	5d na FOX	Przetestuj własne warianty:	Pobieranie pliku z analizą KataGo:	Specyficzne dyskusje (na Discordzie) o tej partii:	Informacje o kanale:	Kanał na Discordzie:	2d FOX	3d FOX							
cs	Komentář k partii go	Webové stránky kanálu YouTube	Stahování souborů SGF	Podpořte mě finančně, pokud můžete	Dostupné jazyky pro dabing a titulky:	Zpráva pro hráče Go, kteří mluví česky	Všechna má videa jsou nadabovaná a otitulkovaná v češtině, a také v mnoha dalších jazycích.	Od té doby, co hraju Go, mi často chyběl obsah ve francouzštině, mém rodném jazyce. To mě přimělo zpřístupnit má videa v co největším počtu jazyků.	Připravit dabing a titulky v několika jazycích představuje pro každé video spoustu práce. Napiš mi, odkud se díváš – potěší mě vědět, že má práce pomáhá i na druhém konci světa.	Pro každý jazyk mám na Discordu kanál: přijď pozdravit a potkat další hráče, kteří mluví česky.	Přidej se na český kanál na Discordu	A samozřejmě, pokud se ti obsah líbí, odebírej a sdílej ho dál.	Díky, že tu jsi, a příjemnou hru!	https://discord.gg/RdWjyftz	Komentovaná partie ve videu 	Odkaz na YouTube	Odkaz na sgf	Stáhnout soubor .sgf s analýzou katago	Domovská stránka 19x19.win	Níže je video se zvukem ve vašem jazyce a také titulky ve vašem jazyce. Toto video je hostované na Google Drive, protože YouTube zatím kanálu neumožňuje přidávat dabované zvukové stopy.	Odkaz na složku na Disku Google obsahující všechna dabovaná videa	Sledujete video na Disku Google? I tak nezapomeňte dát na YouTube palec nahoru!	Níže je video na YouTube (bez dabingu ve vašem jazyce, ale s titulky ve vašem jazyce). Doufám, že YouTube brzy umožní přidávat mé vlastní dabingové zvukové stopy.	Komentovaná partie go	1d na FOXu	2d na FOXu	3d na FOXu	4d na FOXu	5d na FOXu	Vyzkoušejte své vlastní varianty:	Stahování souboru s analýzou KataGo:	Specifické diskuze (na Discordu) o této partii:	Informace o kanálu:	Kanál na Discordu:	2d FOX	3d FOX							
uk	Коментар до партії в го	Вебсайт YouTube-каналу	Завантаження файлів SGF	Підтримайте мене фінансово, якщо можете	Доступні мови для дубляжу та субтитрів:	Повідомлення гравцям у Го, які говорять українською	Усі мої відео дубльовані та містять субтитри українською, а також багатьма іншими мовами.	Відтоді як я граю в Го, мені часто бракувало контенту французькою, моєю рідною мовою. Саме це спонукало мене зробити мої відео доступними якомога більшою кількістю мов.	Підготовка дубляжу та субтитрів кількома мовами — це значний обсяг роботи для кожного відео. Напиши, звідки ти дивишся: мені буде приємно знати, що моя робота корисна на іншому краю світу.	У мене також є канал Discord для кожної мови: заходь привітатися та познайомитися з іншими гравцями, які говорять українською.	Приєднуйся до українського каналу в Discord	І звісно, якщо тобі подобається контент, підписуйся та ділися ним з іншими.	Дякую, що ти тут, і гарної партії!	https://discord.gg/RdWjyftz	Прокоментована партія у відео 	Посилання на YouTube	Посилання на sgf	Завантажити файл .sgf з аналізом katago	Головна сторінка 19x19.win	Нижче — відео з аудіо вашою мовою, а також із субтитрами вашою мовою. Це відео розміщено на Google Drive, оскільки YouTube поки що не дозволяє каналу додавати дубльовані аудіодоріжки.	Посилання на папку Google Диска з усіма озвученими відео	Дивитеся відео на Google Диску? Все одно не забудьте поставити лайк на YouTube!	Нижче — відео на YouTube (без дубляжу вашою мовою, але з субтитрами вашою мовою). Сподіваюся, YouTube незабаром дозволить додавати мої власні доріжки дубляжу.	Коментована партія го	1 дан на FOX	2 дан на FOX	3 дан на FOX	4 дан на FOX	5 дан на FOX	Перевірте власні варіанти:	Завантаження файлу з аналізом KataGo:	Специфічні обговорення (у Discord) щодо цієї партії:	Інформація про канал:	Канал у Discord:	2d FOX	3d FOX							
es	Comentario de una partida de go	Sitio web del canal de YouTube	Descarga de archivos SGF	Apóyeme económicamente si puede	Idiomas disponibles para el doblaje y los subtítulos:	Mensaje para jugadoras y jugadores de Go que hablan español	Todos mis vídeos están doblados y subtitulados en español, así como en muchos otros idiomas.	Desde que juego al Go, a menudo he echado en falta contenidos en francés, mi lengua materna. Eso fue lo que me llevó a hacer que mis vídeos estén disponibles en el mayor número de idiomas posible.	Preparar el doblaje y los subtítulos en varios idiomas supone mucho trabajo para cada vídeo. Cuéntame desde dónde nos ves: me hará ilusión saber que mi trabajo es útil al otro lado del mundo.	También he creado un canal de Discord para cada idioma: ven a saludar y a conocer a otras jugadoras y otros jugadores que hablan español.	Únete al canal en español en Discord	Y por supuesto, si te gusta el contenido, suscríbete y compártelo.	¡Gracias por estar aquí y buena partida!	https://discord.gg/RdWjyftz	Partida comentada en el vídeo 	Enlace de YouTube	Enlace a sgf	Descargar el archivo .sgf con el análisis de katago	Página de inicio de 19x19.win	A continuación, el vídeo con el audio en su idioma y también los subtítulos en su idioma. Este vídeo está alojado en Google Drive porque YouTube todavía no permite al canal añadir doblajes de audio.	Enlace a la carpeta de Google Drive que contiene todos los vídeos doblados	¿Estás viendo el vídeo en Google Drive? Aun así, no olvides dejar un 'me gusta' en YouTube!	A continuación, el vídeo de YouTube (sin el doblaje de audio en su idioma, pero con subtítulos en su idioma). Espero que YouTube permita pronto añadir mis propios doblajes de audio.	Partida de go comentada	1d en FOX	2d en FOX	3d en FOX	4d en FOX	5d en FOX	Prueba tus propias variantes:	Descarga del archivo con el análisis de KataGo:	Discusiones específicas (en Discord) sobre esta partida:	Información del canal:	El canal de Discord:	2d FOX	3d FOX							
es-419	Comentario de una partida de go	Página web del canal de YouTube	Descarga de archivos SGF	Apóyenme económicamente si pueden	Idiomas disponibles para doblaje y subtítulos:	Mensaje para jugadores y jugadoras de Go que hablan español	Todos mis videos están doblados y subtitulados en español, además de en muchos otros idiomas.	Desde que juego al Go, muchas veces he extrañado contenido en francés, mi lengua materna. Eso fue lo que me llevó a que mis videos estén disponibles en la mayor cantidad de idiomas posible.	Preparar el doblaje y los subtítulos en varios idiomas implica mucho trabajo para cada video. Cuéntame desde dónde estás mirando: me dará gusto saber que mi trabajo es útil al otro lado del mundo.	También creé un canal de Discord para cada idioma: ven a saludar y a conocer a otros jugadores y jugadoras que hablan español.	Únete al canal en español en Discord	Y, por supuesto, si te gusta el contenido, suscríbete y compártelo.	¡Gracias por estar aquí y que disfrutes la partida!	https://discord.gg/RdWjyftz	Partida comentada en el video 	Enlace de YouTube	Enlace a sgf	Descargar el archivo .sgf con el análisis de katago	Página de inicio de 19x19.win	A continuación, el video con el audio en su idioma y también los subtítulos en su idioma. Este video está alojado en Google Drive porque YouTube todavía no le permite al canal agregar doblajes de audio.	Enlace a la carpeta de Google Drive que contiene todos los videos doblados	¿Estás viendo el video en Google Drive? Aun así, no olvides dejar un 'me gusta' en YouTube!	A continuación, el video de YouTube (sin el doblaje de audio en su idioma, pero con subtítulos en su idioma). Espero que YouTube permita pronto agregar mis propios doblajes de audio.	Partida de go comentada	1d en FOX	2d en FOX	3d en FOX	4d en FOX	5d en FOX	Prueba tus propias variantes:	Descarga del archivo con el análisis de KataGo:	Discusiones específicas (en Discord) sobre esta partida:	Información del canal:	El canal de Discord:	2d FOX	3d FOX							
pt-BR	Comentário de uma partida de go	Site do canal no YouTube	Download de arquivos SGF	Me apoie financeiramente, se puder	Idiomas disponíveis para dublagem e legendas:	Mensagem para jogadores e jogadoras de Go que falam português	Todos os meus vídeos são dublados e legendados em português, além de em muitos outros idiomas.	Desde que jogo Go, muitas vezes senti falta de conteúdo em francês, minha língua materna. Foi isso que me levou a tornar meus vídeos acessíveis no maior número de idiomas possível.	Preparar dublagem e legendas em vários idiomas dá bastante trabalho para cada vídeo. Diga de onde você está assistindo: vou ficar feliz em saber que meu trabalho é útil do outro lado do mundo.	Também criei um canal no Discord para cada idioma: venha dizer oi e conhecer outros jogadores e jogadoras que falam português.	Entre no canal em português no Discord	E, claro, se você gostar do conteúdo, inscreva-se e compartilhe.	Obrigado(a) pela presença e boa partida!	https://discord.gg/RdWjyftz	Partida comentada no vídeo 	Link do YouTube	Link sgf	Baixar o arquivo .sgf com a análise do katago	Página inicial de 19x19.win	Abaixo, o vídeo com áudio no seu idioma e também as legendas no seu idioma. Este vídeo está hospedado no Google Drive porque o YouTube ainda não permite que o canal adicione dublagens de áudio.	Link para a pasta do Google Drive que contém todos os vídeos dublados	Assistindo ao vídeo no Google Drive? Mesmo assim, não se esqueça de deixar um like no YouTube!	Abaixo, o vídeo do YouTube (sem a dublagem em seu idioma, mas com legendas em seu idioma). Espero que o YouTube permita em breve adicionar minhas próprias dublagens de áudio.	Partida de Go comentada	1d no FOX	2d no FOX	3d no FOX	4d no FOX	5d no FOX	Teste suas próprias variações:	Download do arquivo com a análise do KataGo:	Discussões específicas (no Discord) sobre esta partida:	Informações do canal:	O canal do Discord:	2d FOX	3d FOX							
